"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"59,""0.005537"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"60,""0.005539"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"61,""0.005541"",""0c:43:82:af:a5:02"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"62,""0.005553"",""00:50:79:66:68:01"",""Broadcast"",""ARP"",""64"",""Who has 192.168.0.2? Tell 192.168.0.6"""
"63,""0.005557"",""0c:43:82:a4:13:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"64,""0.005561"",""0c:43:82:af:a5:02"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"65,""0.005952"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"66,""0.005967"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"67,""0.005979"",""0c:43:82:af:a5:03"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"68,""0.005983"",""0c:43:82:af:a5:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"69,""0.005987"",""0c:43:82:af:a5:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"70,""0.005991"",""0c:43:82:af:a5:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"71,""0.005995"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"72,""0.005999"",""0c:43:82:af:a5:03"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"73,""0.006003"",""0c:43:82:af:a5:02"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"74,""0.006006"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"75,""0.006011"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"76,""0.006015"",""0c:43:82:af:a5:02"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"77,""0.006019"",""0c:43:82:af:a5:00"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"78,""0.006023"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"79,""0.006027"",""0c:43:82:af:a5:01"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"80,""0.006032"",""0c:43:82:34:63:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"81,""0.006035"",""0c:43:82:af:a5:00"",""DEC-MOP-Remote-Console"",""0x6002"",""77"",""DEC DNA Remote Console"""
"82,""0.006048"",""0c:43:82:af:a5:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"83,""0.006053"",""0c:43:82:a4:13:01"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"84,""0.006057"",""00:50:79:66:68:01"",""Broadcast"",""ARP"",""64"",""Who has 192.168.0.3? Tell 192.168.0.6"""
"85,""0.006061"",""0c:43:82:d4:06:03"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"86,""0.006065"",""0c:43:82:d4:06:03"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"87,""0.006069"",""0c:43:82:d4:06:03"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"88,""0.006073"",""0c:43:82:d4:06:03"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"89,""0.006077"",""0c:43:82:af:a5:03"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"90,""0.006081"",""0c:43:82:d4:06:03"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
"91,""0.006086"",""0c:43:82:d4:06:03"",""CDP/VTP/DTP/PAgP/UDLD"",""DTP"",""90"",""Dynamic Trunk Protocol"""
